,organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,samples,reads,relative
24,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C08,1482,0.13093029419560032
25,Blautia hydrogenotrophica DSM 10507,Blautia hydrogenotrophica DSM 10507 (476272.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,827.0,1637.0,1177.0,Ines Thiele,08/06/12,476272.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Blautia_hydrogenotrophica.json,Blautia hydrogenotrophica DSM 10507,,Blautia_hydrogenotrophica,species,P17C08,9837,0.8690697058043997
26,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C10,3599,0.300066700016675
27,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,P17C10,8395,0.699933299983325
28,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C11,5018,0.44156986976416757
29,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,P17C11,6346,0.5584301302358324
30,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17C12,2459,0.11384786332700587
31,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,P17C12,19140,0.8861521366729941
32,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D01,2380,0.14566374931146336
33,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,P17D01,13959,0.8543362506885366
34,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D02,1580,0.12145437773848874
35,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,P17D02,11429,0.8785456222615112
36,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D03,1971,0.09052080462937448
37,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,P17D03,19803,0.9094791953706255
38,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D04,2072,0.1968833143291524
39,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,P17D04,8452,0.8031166856708476
40,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D06,1003,0.07370122712910573
41,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,P17D06,12606,0.9262987728708942
42,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D07,2509,0.22974086622104203
43,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,P17D07,8412,0.7702591337789579
44,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D08,2326,0.15088220031136482
45,Blautia hydrogenotrophica DSM 10507,Blautia hydrogenotrophica DSM 10507 (476272.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,827.0,1637.0,1177.0,Ines Thiele,08/06/12,476272.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Blautia_hydrogenotrophica.json,Blautia hydrogenotrophica DSM 10507,,Blautia_hydrogenotrophica,species,P17D08,13090,0.8491177996886352
46,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D10,2691,0.336375
47,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,P17D10,5309,0.663625
48,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D11,6305,0.5141901810471375
49,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,P17D11,5957,0.4858098189528625
50,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17D12,1053,0.13069380662777708
51,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,P17D12,7004,0.8693061933722229
52,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E01,1402,0.10777154277807671
53,Bacteroides uniformis ATCC 8492,Bacteroides uniformis ATCC 8492 (411479.10),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851.0,1196.0,962.0,Ines Thiele,04/20/12,411479.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides_uniformis.json,Bacteroides uniformis ATCC 8492,,Bacteroides_uniformis,species,P17E01,11607,0.8922284572219232
54,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E02,2323,0.13054962346858492
55,,,,"Saccharolytic, fermentative",Negative,Commensal,,,,,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides_thetaiotaomicron.json,,,Bacteroides_thetaiotaomicron,species,P17E02,15471,0.8694503765314151
56,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E03,1477,0.10188314823756639
57,,,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,,,,Ines Thiele,,,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides_ovatus.json,,,Bacteroides_ovatus,species,P17E03,13020,0.8981168517624336
58,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E04,2457,0.21516770295122165
59,Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574.0,1258.0,1011.0,Ines Thiele,08/06/12,89152.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,Peptacetobacter_hiranonis.json,Clostridium hiranonis TO-931 DSM 13275,,Peptacetobacter_hiranonis,species,P17E04,8962,0.7848322970487783
60,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E06,1389,0.08027045769764217
61,,,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Positive,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae genus,[Eubacterium] rectale,_Eubacterium__rectale.json,,,_Eubacterium__rectale,species,P17E06,15915,0.9197295423023578
62,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E07,3639,0.18830530401034928
63,"Prevotella copri CB7, DSM 18205",Prevotella copri DSM 18205 (537011.5),Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,1099.0,1634.0,1139.0,Ines Thiele,06/25/12,165179.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,Prevotella_copri.json,"Prevotella copri CB7, DSM 18205",,Prevotella_copri,species,P17E07,15686,0.8116946959896507
64,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E08,2509,0.14253252286542067
65,Blautia hydrogenotrophica DSM 10507,Blautia hydrogenotrophica DSM 10507 (476272.5),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,827.0,1637.0,1177.0,Ines Thiele,08/06/12,476272.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,Blautia_hydrogenotrophica.json,Blautia hydrogenotrophica DSM 10507,,Blautia_hydrogenotrophica,species,P17E08,15094,0.8574674771345794
66,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E10,3092,0.3239731768650461
67,,,,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii.json,,,Faecalibacterium_prausnitzii,species,P17E10,6452,0.6760268231349539
68,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E11,9557,0.6089976422608806
69,Desulfovibrio piger ATCC 29098,Desulfovibrio piger ATCC 29098 (411464.8),Nanaerobe,"Only anaerobic respiration with sulfate as electron acceptor, nonfermentative, asaccharolytic",Negative,Commensal,599.0,980.0,792.0,Ines Thiele,08/06/12,411464.0,ModelSEED,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger,Desulfovibrio_piger.json,Desulfovibrio piger ATCC 29098,,Desulfovibrio_piger,species,P17E11,6136,0.39100235773911934
70,,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,P17E12,1929,0.13819041478615945
71,Clostridium scindens ATCC 35704,Clostridium scindens ATCC 35704 (411468.9),Aerotolerant,"Saccharolytic, fermentative",Positive,Commensal,735.0,2049.0,1277.0,Ines Thiele,04/20/12,411468.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,_Clostridium__scindens.json,Clostridium scindens ATCC 35704,,_Clostridium__scindens,species,P17E12,12030,0.8618095852138405
